Date,Open,High,Low,Close,Adj Close,Volume
2022-04-05,3.896501,3.926269,3.667775,3.671659,3.671659,92788728
2022-04-06,3.671472,3.672575,3.249389,3.271611,3.271611,141966509
2022-04-07,3.274370,3.428357,3.260188,3.396813,3.396813,88803897
2022-04-08,3.395971,3.418135,3.144795,3.166705,3.166705,99749649
2022-04-09,3.166735,3.206382,3.085187,3.205638,3.205638,86898674
2022-04-10,3.205750,3.297321,3.137897,3.137897,3.137897,67468999
2022-04-11,3.134720,3.142168,2.954052,2.961710,2.961710,113562614
2022-04-12,2.962539,3.197036,2.956034,3.066378,3.066378,107061016
2022-04-13,3.066240,3.192700,3.044165,3.176355,3.176355,62852309
2022-04-14,3.176031,3.276701,3.072082,3.098947,3.098947,64947373
2022-04-15,3.099192,3.233378,3.099192,3.194069,3.194069,83514731
2022-04-16,3.193893,3.291474,3.165905,3.283174,3.283174,58298448
2022-04-17,3.282746,3.290655,3.088596,3.094687,3.094687,64077594
2022-04-18,3.094354,3.184309,2.948261,3.174838,3.174838,84459010
2022-04-19,3.175044,3.258950,3.134389,3.235387,3.235387,58947542
2022-04-20,3.234827,3.268320,3.103615,3.146253,3.146253,90490509
2022-04-21,3.146301,3.232538,2.999149,3.032810,3.032810,96232158
2022-04-22,3.032569,3.149246,2.989488,3.086146,3.086146,102359922
2022-04-23,3.085918,3.088160,2.995598,3.008015,3.008015,51103379
2022-04-24,3.007073,3.040523,2.939993,2.965912,2.965912,64440177
2022-04-25,2.965982,2.965982,2.809361,2.954098,2.954098,101271688
2022-04-26,2.953465,2.969136,2.777208,2.777208,2.777208,87363759
2022-04-27,2.777048,2.849089,2.712672,2.817322,2.817322,72189520
2022-04-28,2.817574,2.850046,2.748680,2.804917,2.804917,66155636
2022-04-29,2.804915,2.816653,2.652887,2.685968,2.685968,71412880
2022-04-30,2.686092,2.743927,2.466149,2.532699,2.532699,78044291
2022-05-01,2.533240,2.600013,2.489528,2.577091,2.577091,71952859
2022-05-02,2.576674,2.604104,2.405378,2.496636,2.496636,86977570
2022-05-03,2.496704,2.581398,2.429861,2.488030,2.488030,57999161
2022-05-04,2.488012,2.728137,2.482758,2.706445,2.706445,78203360
2022-05-05,2.705553,2.871185,2.431138,2.489197,2.489197,160166237
2022-05-06,2.489079,2.524458,2.408809,2.508790,2.508790,91605682
2022-05-07,2.508769,2.639185,2.436717,2.510272,2.510272,121916755
2022-05-08,2.510575,2.627732,2.510575,2.556026,2.556026,149925397
2022-05-09,2.555636,2.655390,2.028500,2.028500,2.028500,169040300
2022-05-10,2.025919,2.288888,2.006499,2.115825,2.115825,147466636
